,Question Name, No.of Views, No.of answers, No.of Votes, Question id, Tags, Date 
22762,Is it possible to have 32 bit libraries installed on a 64 bit system?,15000.0,2,8,60751, 64-bit,9/9/2011
22764,How to install python 3.2 in ubuntu 13.04,13000.0,3,8,295937, installation 13.04 python,5/15/2013
22765,USB mouse moves but doesn't accept left clicks [closed],42000.0,9,8,6337, 10.10 mouse input-devices,10/12/2010
22766,Microsoft Office 2010 on Ubuntu 17.10 - Wine - Connection error activation problem,6000.0,1answer,8,980370, wine internet 17.10 microsoft-office,11/26/2017
22767,How to adjust screen settings: contrast color saturation etc,7000.0,1answer,8,756082, xubuntu screen settings,4/11/2016
22768,Is there a `Locate pointer` helper in Lubuntu (for visually impaired),2000.0,3,8,569274, xubuntu lubuntu mouse accessibility,1/5/2015
22769,Ubuntu One Oauth login from PHP,3000.0,4,8,54185, ubuntu-one php cloud,7/22/2011
22770,Can I use pkexec in a python script or a .desktop file?,2000.0,2,8,288087, python gksu .desktop pkexec,4/29/2013
22771,Dell XPS 15 (9550) rebooting after suspend,4000.0,4,8,871950, 16.04 kernel suspend dell,1/14/2017
22772,GUI tool for viewing and managing print queue?,4000.0,5,8,781887, 14.04 software-recommendation printing gui,6/4/2016
22773,Unable to locate package python-pip on live system [duplicate],62000.0,2,8,268539, apt software-installation python,3/16/2013
22774,How do I run NetBeans from the terminal?,72000.0,4,8,440245, command-line netbeans,3/28/2014
22776,Noise from headphones,5000.0,4,8,524344, 14.04 sound dell headphones noise,9/15/2014
22777,How to convert mkv to dvd or avi,33000.0,8,8,3287, video conversion,8/29/2010
22778,How to associate all file types within Wine with its corresponding native application?,5000.0,3,8,51325, wine scripts mime-type file-association,6/30/2011
22779,How do I change login screen purple color to another one or image (if possible) on Ubuntu 17.10? [duplicate],8000.0,1answer,8,990960, login-screen,12/31/2017
22780,How to make alt-tab diplay names of the program/window title?,1000.0,1answer,8,52974, 11.04 unity window-manager,7/13/2011
22782,How do I enable DNS caching in the NetworkManager-controlled dnsmasq?,8000.0,6,8,155163, dns dnsmasq,6/23/2012
22783,my windows do not resize when I drag them on top or on side of my screen,2000.0,1answer,8,73782, unity compiz resize,10/30/2011
22784,Disable all Unity keyboard shortcuts using the command line,5000.0,2,8,461701, command-line shortcut-keys,5/6/2014
22785,Remove welcome screen from Live USB?,7000.0,4,8,7429, 10.10 startup live-usb,10/15/2010
22786,Where are lxc containers security borderlines?,5000.0,1answer,8,342388, lxc,9/7/2013
22787,Terminal does not appear in launcher,22000.0,5,8,130746, unity launcher,5/3/2012
22788,Ubuntu 12.04 froze requiring powercycle. What should I look / grep for in the logs?,2000.0,3,8,150973, 12.04 freeze debugging,6/14/2012
22789,How to repair apt-get command?,77000.0,3,8,33949, apt dpkg,4/7/2011
22790,Cannot Unbind Super Key from Unity,2000.0,5,8,148975, unity compiz,6/10/2012
22791,Ubuntu One Oauth login from PHP,3000.0,4,8,54185, ubuntu-one php cloud,7/22/2011
22792,Ubuntu 16.04 seemingly random freezing on AMD system,1000.0,1answer,8,835111, 16.04 freeze log amd-processor,10/10/2016
22793,Aliases: difference between .bash_rc .bash_aliases and /usr/local/bin,5000.0,1answer,8,2528, command-line bash bashrc alias,8/17/2010
22794,Failure to download ttf-mscorefonts-installer. Not even reinstall works! [duplicate],4000.0,1answer,8,856306, apt package-management,12/2/2016
22795,Make URL point to local folder,8000.0,4,7,932215, networking redirect,7/5/2017
22796,Can I set my Optimus Nvidia card to run Unity3D with bumblebee?,2000.0,2,7,87714, 11.10 compiz bumblebee,12/14/2011
22797,Allow non-admin users to mount drives via nautilus,9000.0,1answer,7,185718, mount nautilus administration privileges,9/9/2012
22798,How can I force the usage of a repository?,7000.0,1answer,7,47533, 10.04 ppa repository,6/7/2011
22799,What happened to Last.FM radio service in Rhythmbox?,2000.0,1answer,7,227622, rhythmbox internet-radio,12/10/2012
22800,Disable KDE Launcher - Browser history integration,3000.0,3,7,325810, kde plasma,7/28/2013
22801,How to recover offscreen window after disconnecting second monitor?,2000.0,1answer,7,665709, multiple-monitors emacs,8/25/2015
22802,What steps do I follow to run a stock Hello World CGI script?,9000.0,1answer,7,86802, development apache2 lamp webapp-development,12/10/2011
22803,I can't register to Ubuntu one. The captcha images are not authorizing my input although I'm sure I have it right,4000.0,2,7,632976, ubuntu-one,6/6/2015
22804,Ubuntu 16.04 fan problem on my Asus UX501VW,12000.0,4,7,765394, 16.04 fan,4/30/2016
22805,Problems with graphics of Sony Vaio Z,14000.0,7,7,8247, boot nvidia graphics sony vaio,10/19/2010
22806,Is there any video player that plays Youtube playlists? [duplicate],4000.0,1answer,7,199506, vlc youtube mplayer playlists minitube,10/13/2012
22808,What are xhost and xhost +si?,7000.0,1answer,7,877820, xserver,1/30/2017
22809,Best log file monitoring tool for ubuntu server,5000.0,3,7,19518, server software-recommendation monitoring log,12/31/2010
22810,Tor-Browser appears as Firefox in the Unity Launcher,2000.0,2,7,769392, launcher icons .desktop tor-browser,5/8/2016
22811,How can I make ultracopier handle cut-copy-paste function in nautilus?,8000.0,5,7,33461, gnome nautilus copy,4/4/2011
22812,Can't get 3D vision working,2000.0,2,7,403054, nvidia 13.10 3d,1/9/2014
22813,Python (v2.7) requires to install plugins to create media files of the following type: Vorbis encoder,13000.0,3,7,204293, python music-player,10/21/2012
22814,Screensaver/blanking problem,12000.0,7,7,207131, unity upgrade 12.10 screen settings,10/27/2012
22815,Change system settings depending on whether a monitor is plugged in,3000.0,1answer,7,192719, 12.04 external-monitor system-settings,9/25/2012
22816,What is each logged in user doing?,11000.0,4,7,115029, command-line users,3/22/2012
22817,How do I restart/reload Apache when it can't determine the domain name? [duplicate],37000.0,1answer,7,80714, apache2 restart,11/19/2011
22818,How to disable Macbook keyboard backlight,8000.0,2,7,137355, 12.04 gnome keyboard backlight,5/15/2012
22819,How to add an option to create a new file with a specific extension in right click menu,3000.0,1answer,7,385346, nautilus files menu filemanager,12/3/2013
22820,Wifi not working in Ubuntu 17.10 version on Lenovo ThinkPad E450,18000.0,6,7,967637, wireless 17.10,10/22/2017
22821,Recording phone calls,4000.0,1answer,7,322397, skype phone voip,7/20/2013
22822,How to read older login info using the last command?,17000.0,3,7,443206, command-line,4/4/2014
22823,Nautilus occasionally stops working,2000.0,3,7,618171, nautilus gvfs,5/4/2015
22824,How do I set an extra IP for an existing interface?,19000.0,2,7,83171, server networking,11/27/2011
22825,Cannot hibernate twice,1000.0,3,7,420030, hibernate,2/12/2014
22828,Optimizing Gnome desktop for netbook,5000.0,3,7,13878, gnome ubuntu-netbook,11/18/2010
22829,Add NTFS partition to live USB,3000.0,3,7,47247, windows usb live-usb ntfs,6/6/2011
22830,How to recover offscreen window after disconnecting second monitor?,2000.0,1answer,7,665709, multiple-monitors emacs,8/25/2015
22832,How to add an audio file (aac or mp3) to a mp4 video file?,17000.0,1answer,7,369947, multimedia,11/2/2013
22833,apt-get broken cannot fix or remove libapt-pkg4.12,11000.0,3,7,178879, apt 64-bit kubuntu,8/22/2012
22834,Python (v2.7) requires to install plugins to create media files of the following type: Vorbis encoder,13000.0,3,7,204293, python music-player,10/21/2012
22835,How to know the pid of active window,3000.0,3,7,245428, window,1/20/2013
22836,LXDE: PCManFM Thumbnails of images > 2MB are not shown,8000.0,1answer,7,301503, lxde thumbnails pcmanfm,5/29/2013
22837,Is there any advantage to setting up a personal cloud instead of running a personal server without virtualization?,2000.0,2,7,1541, server cloud,8/7/2010
22838,Can I set my Optimus Nvidia card to run Unity3D with bumblebee?,2000.0,2,7,87714, 11.10 compiz bumblebee,12/14/2011
22839,bluetooth not working on Ubuntu 13.10,8000.0,1answer,7,375537, bluetooth,11/11/2013
22840,How do I set up a python development environment?,29000.0,7,7,154251, python,6/21/2012
22841,Install Regex plugin for Gedit,17000.0,3,7,173785, gedit plugins regex,8/9/2012
22842,Can I use my Bluetooth headset as a microphone?,8000.0,4,7,61031, 11.04 pulseaudio bluetooth,9/12/2011
22843,Connection 802.1x supplicant failed,9000.0,3,7,828076, wireless internet,9/22/2016
22844,Download/upload speed indicator applet for 14.04,26000.0,3,7,455051, internet 14.04 indicator applet,4/25/2014
22845,Mouse text selection to paste buffer using middle click,3000.0,1answer,7,271825, xubuntu mouse click-policy,3/24/2013
22846,What do I put in the Search Domains field?,38000.0,2,7,40887, network-manager,5/7/2011
22847,show only svn in RabbitVCS context menu,8000.0,2,7,484887, configuration rabbitvcs,6/18/2014
22849,How to expand an encrypted ubuntu partition with LVM,5000.0,3,7,747073, partitioning encryption lvm,3/17/2016
22850,Install Fingerprint Driver 138a:0090 on Ubuntu 16.04 (ThinkPad T460s),10000.0,4,7,756706, lenovo thinkpad 16.04 fingerprint-reader,4/12/2016
22851,How can I force the usage of a repository?,7000.0,1answer,7,47533, 10.04 ppa repository,6/7/2011
22852,Is there an alternative to AutoKey?,4000.0,1answer,7,547500, 14.04 13.10 thunderbird autokey,11/9/2014
22853,Why do firefox 4 and evolution always open maximized in Unity? [duplicate],3000.0,2,7,35011, 11.04 unity evolution firefox,4/14/2011
22854,KDEConnect Indicator in Ubuntu 16.04 does not show up,3000.0,2,7,762653, indicator kde-connect,4/25/2016
22855,Make URL point to local folder,8000.0,4,7,932215, networking redirect,7/5/2017
22856,Where do I find an up-to-date version of boost?,6000.0,3,7,61384, c++,9/14/2011
22857,Warm reboot directly to Grub,2000.0,2,7,152661, reboot bios,6/18/2012
22858,Disable second non-existent screen from command line,12000.0,1answer,7,366813, multiple-monitors vga,10/27/2013
22859,Setting temperature thresholds in i8kmon Ubuntu 14.04,8000.0,1answer,7,522954, dell overheating fan temperature,9/11/2014
22860,What happened to Last.FM radio service in Rhythmbox?,2000.0,1answer,7,227622, rhythmbox internet-radio,12/10/2012
22861,How to disable Macbook keyboard backlight,8000.0,2,7,137355, 12.04 gnome keyboard backlight,5/15/2012
22862,Is there any video player that plays Youtube playlists? [duplicate],4000.0,1answer,7,199506, vlc youtube mplayer playlists minitube,10/13/2012
22863,Change root user's home directory in Ubuntu?,19000.0,1answer,7,209858, directory root,10/30/2012
22864,How to read older login info using the last command?,17000.0,3,7,443206, command-line,4/4/2014
22865,Wifi not working in Ubuntu 17.10 version on Lenovo ThinkPad E450,18000.0,6,7,967637, wireless 17.10,10/22/2017
22866,rotating screen 90 degrees clockwise,28000.0,2,7,86055, 11.10 nvidia xorg multiple-monitors,12/8/2011
22867,Can't install dotnet45 with winetricks on Ubuntu 14.04,10000.0,1answer,7,783211, 14.04 wine winetricks dotnet,6/5/2016
22868,capture login screen-not sucssecful,4000.0,4,7,177067, 12.04 login-screen screenshot xserver capture,8/17/2012
22869,Ubuntu 16.10 repository providing vim 8,7000.0,1answer,7,875003, repository 16.10 vim,1/22/2017
22870,What are all the apt command-line commands and options?,7000.0,2,7,812689, command-line apt documentation,8/15/2016
22871,How to ensure Wine does not auto run .exe files?,2000.0,6,7,344088, wine security,9/11/2013
22872,Startup script with sudo in Ubuntu 16.10,7000.0,2,7,889632, gnome bash scripts,3/4/2017
22873,Nonexistent display (Unknown Display) messing things up,7000.0,2,7,504705, 14.04 nvidia multiple-monitors display,7/30/2014
22874,How can I install a tar.bz2 file?,59000.0,2,7,55796, 10.04 installation install-from-source,8/4/2011
22875,How to get back unity and compiz after uninstalling no launcher or dash on startup,8000.0,2,7,506921, unity 14.04 compiz launcher reset,8/4/2014
22876,Weird font hinting in Firefox 4,4000.0,5,7,29827, firefox fonts font-rendering,3/10/2011
22877,Recording phone calls,4000.0,1answer,7,322397, skype phone voip,7/20/2013
22878,Change system settings depending on whether a monitor is plugged in,3000.0,1answer,7,192719, 12.04 external-monitor system-settings,9/25/2012
22879,Why I can't access internet using an static IP address?,26000.0,1answer,7,499701, networking static-ip,7/18/2014
22880,Tor-Browser appears as Firefox in the Unity Launcher,2000.0,2,7,769392, launcher icons .desktop tor-browser,5/8/2016
22881,How do I disable Bootchart?,2000.0,1answer,7,264935, 12.04 bootchart,3/7/2013
22883,Can't get 3D vision working,2000.0,2,7,403054, nvidia 13.10 3d,1/9/2014
22884,Allow non-admin users to mount drives via nautilus,9000.0,1answer,7,185718, mount nautilus administration privileges,9/9/2012
22885,Ubuntu 12.04 Windows Snap Feature,11000.0,1answer,7,199688, 12.04 installation updates lts,10/13/2012
22886,How do I remove all programs connected to Wine and Wine with one command?,14000.0,5,7,35010, 10.04 wine,4/14/2011
22887,How to remove nodejs from nodesource.com?,6000.0,3,7,629315, nodejs,5/28/2015
22888,How to set a file size limit for a directory?,6000.0,1answer,7,841282, files directory configuration customization,10/24/2016
22889,How to share WiFi/hotspot over SSH tunnel,4000.0,2,7,514592, wireless ssh hot-spot tunnel,8/22/2014
22890,Ubuntu 18.04 Login Loop [closed],6000.0,1answer,7,1032090, login-screen,5/4/2018
22891,Delete oldest file in a directory when there are more than 7 files?,1000.0,2,7,890260, 16.04 mysql,3/6/2017
22892,Screensaver/blanking problem,12000.0,7,7,207131, unity upgrade 12.10 screen settings,10/27/2012
22893,How can I get a USB floppy drive to work?,23000.0,7,7,14733, usb automount floppy,11/24/2010
22894,How do I restart/reload Apache when it can't determine the domain name? [duplicate],37000.0,1answer,7,80714, apache2 restart,11/19/2011
22895,Is there a ext3 defragmenter?,3000.0,3,7,21142, ext3,1/11/2011
22896,How do I let other users access my /media/[username]/HARDDRIVE with Ubuntu 12.10?,3000.0,1answer,7,226877, 12.10 automount udev,12/8/2012
22897,How do I set an extra IP for an existing interface?,19000.0,2,7,83171, server networking,11/27/2011
22898,What is each logged in user doing?,11000.0,4,7,115029, command-line users,3/22/2012
22899,What steps do I follow to run a stock Hello World CGI script?,9000.0,1answer,7,86802, development apache2 lamp webapp-development,12/10/2011
22900,I can't register to Ubuntu one. The captcha images are not authorizing my input although I'm sure I have it right,4000.0,2,7,632976, ubuntu-one,6/6/2015
22901,how to uninstall all packages installed by aptitude build-dep,3000.0,3,7,140835, aptitude,5/22/2012
22902,Fonts showing missing segments,2000.0,2,7,34053, fonts,4/5/2011
22904,How do I install utorrent by hand?,6000.0,3,7,137624, installation command-line bash archive,5/16/2012
22905,xrdp failed (problem connecting) when package was auto-updated [closed],9000.0,6,7,1108550, 16.04 xorg,1/10/2019
22906,How do I configure an Apple Magic Trackpad to use with Unity?,10000.0,2,7,34417, unity 11.04 multi-touch magic-trackpad,4/10/2011
22907,What are xhost and xhost +si?,7000.0,1answer,7,877820, xserver,1/30/2017
22908,How to add an option to create a new file with a specific extension in right click menu,3000.0,1answer,7,385346, nautilus files menu filemanager,12/3/2013
22909,How to install eigen 3.3 in Ubuntu 14.04?,48000.0,4,7,860207, 14.04 software-installation,12/13/2016
22910,Why is unattended-upgrades activated by default?,3000.0,2,7,785339, server apt upgrade lts,6/10/2016
22911,Nautilus occasionally stops working,2000.0,3,7,618171, nautilus gvfs,5/4/2015
22912,How do I install Compiz in Xubuntu?,15000.0,4,7,8270, compiz xubuntu,10/19/2010
22913,Kubuntu 16.04.2 freezes error message is ata1:COMRESET failed (errno=-16),1000.0,4,6,901069, 16.04 kubuntu kde ssd,4/7/2017
22914,Ubuntu 10.04 Cant Adjust brightness on my lenovo Thinkpad?,6000.0,2,6,83965, nvidia brightness thinkpad,11/30/2011
22915,How to fix doesn't look like an EFI partition with WinUSB?,16000.0,2,6,532209, boot dual-boot grub2 mount,10/4/2014
22916,Is there an android emulator for Ubuntu 14.04?,20000.0,1answer,6,480975, 14.04 android emulator,6/9/2014
22917,How to run a script? [duplicate],125000.0,3,6,77929, command-line scripts vmware,11/10/2011
22918,Ubuntu 15.04: Change KDE application's icons,2000.0,1answer,6,637051, kde qt icon-themes,6/16/2015
22919,Differences between fish and bash to pass commandline arguments to alias functions?,6000.0,2,6,19728, command-line bash alias fish,1/2/2011
22920,PostgreSQL fails to reinstall after upgrading Ubuntu 12.04 to 14.04,4000.0,4,6,873091, 14.04 12.04 upgrade postgresql,1/17/2017
22922,How can I relabel my flash drive?,3000.0,3,6,12160, usb-drive,11/8/2010
22923,How to fix the fonts in Firefox?,7000.0,1answer,6,49044, firefox fonts,6/16/2011
22924,How can I get the AMD driver running on Ubuntu 12.10 (AMD Radeon HD 7310& AMD Vision E1-1200 APU),22000.0,2,6,206288, unity drivers ati,10/25/2012
22925,Reducing multiple mp3 bitrate,5000.0,3,6,338463, 13.04 mp3,8/28/2013
22926,Why do I get LIBUSB_ERROR_ACCESS when trying to get my Xbox controller working?,32000.0,3,6,325416, usb xbox-360,7/27/2013
22927,Converting an ARF file using nbr2mp4 with Kubuntu 13.10,8000.0,3,6,389665, kubuntu video-conversion,12/12/2013
22929,Ubuntu won't save my settings for thinkpad trackpoint,5000.0,1answer,6,137528, 12.04 thinkpad udev trackpoint,5/15/2012
22930,Network eth0 DHCP static ip and autonegotiation issues,28000.0,2,6,575487, 14.04 networking ethernet dhcp,1/19/2015
22931,How can I open an .xps file in Evince?,6000.0,1answer,6,112852, 11.10 evince xps-file,3/14/2012
22932,Is there a way to start multiple applications at once and arrange their windows?,1000.0,3,6,306992, window,6/11/2013
22933,Getting Quickly to use Gvim instead of Gedit,2000.0,3,6,22019, application-development gedit vim quickly gvim,1/17/2011
22934,Which sound profile will allow me to simultaneously hear and record system audio + microphone input?,5000.0,2,6,63533, pulseaudio,9/29/2011
22935,Thumbnails not showing in video in Ubuntu 18.04,9000.0,3,6,1034595, video thumbnails,5/10/2018
22936,How to make cursor change from thin line to block based on normal or insert mode in Console Vim on Gnome Terminal,6000.0,3,6,42663, gnome-terminal vim cursor,5/14/2011
22937,How to fix doesn't look like an EFI partition with WinUSB?,16000.0,2,6,532209, boot dual-boot grub2 mount,10/4/2014
22938,How can I get two-finger scrolling working on my trackpad?,5000.0,5,6,541188, touchpad multi-touch synaptics trackpad,10/24/2014
22939,Android phone does not appear in lsusb after entering downloading mode!,17000.0,4,6,540394, usb android,10/23/2014
22940,Google-Calendar offline?,3000.0,2,6,26462, google-calendar,2/15/2011
22941,How to disable global menu and have always visible menu bars,6000.0,2,6,441421, menu,3/31/2014
22942,xubuntu: stop gnome-keyring-daemon from impersonating ssh-agent,5000.0,5,6,412793, xubuntu xfce gnome-keyring ssh-agent,1/29/2014
22943,Live OS doesn't see USB mouse or keyboard,14000.0,2,6,281964, installation keyboard uefi,4/16/2013
22944,How can I relabel my flash drive?,3000.0,3,6,12160, usb-drive,11/8/2010
22945,How do I install only Chrome on a minimal installation?,12000.0,4,6,141165, chromium browser,5/23/2012
22946,How to compile Ubuntu from source code?,3000.0,1answer,6,82302, 11.10 source-code install-from-source,11/24/2011
22948,Install wc3 markup validator locally,3000.0,2,6,471523, 13.10 html apache2.4,5/24/2014
22949,Is there a file exists command in Ubuntu Terminal? [duplicate],12000.0,1answer,6,974576, command-line,11/9/2017
22950,Re-enable graphical root-login on 12.04 LTS,35000.0,3,6,141741, 12.04 root,5/24/2012
22951,How install Toggl Desktop in Ubuntu?,8000.0,3,6,346368, software-installation,9/16/2013
22952,How to change primary partition to extended without formatting,6000.0,1answer,6,161475, partitioning,7/9/2012
22953,Why doesn't JSLint/JSHint work in Ubuntu?,2000.0,2,6,390062, environment-variables javascript nodejs environment,12/13/2013
22954,Mouse sensitivity in 14.04 dissapeared [closed],11000.0,1answer,6,449335, mouse settings 14.04,4/18/2014
22955,Configuration of the Network Manager via DBus: how to set the ad hoc mode,8000.0,2,6,185784, wireless configuration network-manager dbus adhoc,9/9/2012
22956,Banshee encountered a Fatal Error (sqlite error 11: database disk image is malformed),7000.0,2,6,30185, banshee,3/13/2011
22957,System Tray icons not showing [closed],17000.0,1answer,6,447739, google-chrome notification system-tray,4/14/2014
22958,I can SSH into a remote host but get Connection reset by peer with SSHFS what do I miss?,18000.0,3,6,140197, authentication sshfs,5/21/2012
22960,Where can I find the refind.conf configuration file?,15000.0,4,6,468483, dual-boot 14.04 macbook-pro refind,5/18/2014
22961,How do you hotplug enable new CPU and RAM in a Virtual Machine,11000.0,2,6,764620, server ram cpu virtual hotplug,4/28/2016
22962,How to uninstall a software that has been installed using wine?,13000.0,3,6,185198, wine,9/7/2012
22964,Kubuntu 16.04.2 freezes error message is ata1:COMRESET failed (errno=-16),1000.0,4,6,901069, 16.04 kubuntu kde ssd,4/7/2017
22965,How to SSH into a Juju instance?,3000.0,2,6,152428, juju,6/18/2012
22966,How to disable microphone volume auto adjustment in Cisco Webex,4000.0,1answer,6,689209, 14.04 64-bit pulseaudio microphone webex,10/24/2015
22967,16.04 - When Laptop is closed the desktop changes to external monitor,2000.0,1answer,6,790128, 16.04 suspend laptop power-management,6/22/2016
22968,How can I create a Windows 10 boot usb from ubuntu?,35000.0,1answer,6,707159, partitioning windows live-usb 15.10 windows-10,12/7/2015
22969,How can I get Apache to use PHP 7.0 (not 7.1)?,10000.0,2,6,944036, 16.04 apache2 php,8/8/2017
22970,Is there an android emulator for Ubuntu 14.04?,20000.0,1answer,6,480975, 14.04 android emulator,6/9/2014
22971,Setting up wireless (WPA2) on ubuntu server 14.04,33000.0,2,6,521188, 14.04 wireless server wpa2,9/7/2014
22972,Troubles when trying to play a DVD,6000.0,1answer,6,70010, 11.10 dvd multimedia video-player,10/21/2011
22973,How can I have mkdir cd into the newly-created directory? [duplicate],2000.0,4,6,927463, command-line bash mkdir coreutils cd-command,6/20/2017
22974,Make Ctrl+Alt+L show login screen,3000.0,1answer,6,178187, login,8/20/2012
22975,How to run a script? [duplicate],125000.0,3,6,77929, command-line scripts vmware,11/10/2011
22976,How to uninstall a software that has been installed using wine?,13000.0,3,6,185198, wine,9/7/2012
22977,How to share files/folders between two different Ubuntu computers and are on different network?,5000.0,3,6,871240, server remote-desktop file-sharing shared-folders,1/12/2017
22978,Getting Quickly to use Gvim instead of Gedit,2000.0,3,6,22019, application-development gedit vim quickly gvim,1/17/2011
22979,Why doesn't JSLint/JSHint work in Ubuntu?,2000.0,2,6,390062, environment-variables javascript nodejs environment,12/13/2013
22980,I can SSH into a remote host but get Connection reset by peer with SSHFS what do I miss?,18000.0,3,6,140197, authentication sshfs,5/21/2012
22981,How do I get suspend working on an HP DV4T?,1000.0,5,6,383880, suspend,11/29/2013
22982,How to get multiple displays working with docking station?,21000.0,2,6,638875, 14.04 drivers nvidia multiple-monitors display,6/20/2015
22983,How install Toggl Desktop in Ubuntu?,8000.0,3,6,346368, software-installation,9/16/2013
22984,WiFi driver is not installed on Asus PCE AC68?,22000.0,5,6,596096, wireless drivers broadcom asus,3/12/2015
22985,How can I easily send a window to the back of a stack?,2000.0,2,6,65580, gnome window-manager,10/12/2011
22986,iOS device contents e.g. Pictures Documents no longer accessible under Ubuntu,11000.0,1answer,6,824991, iphone ipad ios,9/14/2016
22987,How do the environments of a standard Terminal command-line and a bash script differ?,1000.0,2,6,20871, bash command-line scripts,1/10/2011
22988,How do I make Ubuntu use only free software?,2000.0,2,6,144208, package-management legal,5/30/2012
22989,Ubuntu gnome 17.04 freezes on shutdown,5000.0,1answer,6,925128, shutdown freeze 17.04 reboot ubuntu-gnome,6/13/2017
22990,Two-Finger Scrolling in LXDE (Ubuntu 12.10),5000.0,3,6,234236, 12.10 lxde scrolling,12/30/2012
22991,System Tray icons not showing [closed],17000.0,1answer,6,447739, google-chrome notification system-tray,4/14/2014
22992,Network eth0 DHCP static ip and autonegotiation issues,28000.0,2,6,575487, 14.04 networking ethernet dhcp,1/19/2015
22993,How to compile Ubuntu from source code?,3000.0,1answer,6,82302, 11.10 source-code install-from-source,11/24/2011
22994,Lyx doesn't work (can't find cls files),19000.0,4,6,256125, latex lyx,2/14/2013
22995,Why can't I see 16:9 aspect ratios?,20000.0,3,6,712564, display vga,12/23/2015
22996,chown - Difference between user and user:user,31000.0,3,6,628896, permissions chown,5/27/2015
22997,How do you hotplug enable new CPU and RAM in a Virtual Machine,11000.0,2,6,764620, server ram cpu virtual hotplug,4/28/2016
22998,How to store my gnome terminal color palette,7000.0,1answer,6,189766, gnome-terminal vim,9/17/2012
22999,how to do a pbuilder-dist build with dependencies in a ppa?,4000.0,2,6,265703, ppa packaging pbuilder-dist,3/9/2013
23000,Broken count error : linux-generic-pae : Depends: linux-image-generic-pae (= 3.2.0.37.44) but 3.2.0.37.45 is installed,6000.0,1answer,6,251862, apt package-management kernel,2/6/2013
23001,xubuntu: stop gnome-keyring-daemon from impersonating ssh-agent,5000.0,5,6,412793, xubuntu xfce gnome-keyring ssh-agent,1/29/2014
23002,How can I create a Windows 10 boot usb from ubuntu?,35000.0,1answer,6,707159, partitioning windows live-usb 15.10 windows-10,12/7/2015
23003,How do I install only Chrome on a minimal installation?,12000.0,4,6,141165, chromium browser,5/23/2012
23005,Change Icon Size in Unity 2D Launcher [duplicate],5000.0,2,6,66543, unity launcher unity-2d,10/15/2011
23006,How can I get two-finger scrolling working on my trackpad?,5000.0,5,6,541188, touchpad multi-touch synaptics trackpad,10/24/2014
23007,Graphics driver being reported as Gallium 0.4 on llvmpipe (LLVM 0x300) instead of intel,48000.0,2,6,183305, intel-graphics,9/2/2012
23008,Changing the sidepane background color in Nautilus,3000.0,2,6,8733, nautilus themes gtk,10/21/2010
23009,How to install ruby 1.8.7 back on Ubuntu 14.04 after upgrade?,16000.0,2,6,452809, 14.04 software-installation ruby,4/22/2014
23010,Chromium does not start (launch seems to start but not opening the application) [closed],24000.0,2,6,466230, launcher chromium,5/15/2014
23011,How to remove Telegram?,24000.0,2,6,819521, uninstall software-uninstall telegram,9/1/2016
23012,How to disable global menu and have always visible menu bars,6000.0,2,6,441421, menu,3/31/2014
23013,Building the main Guest Additions module fail!,45000.0,6,6,287205, virtualbox,4/28/2013
23014,How can I open an .xps file in Evince?,6000.0,1answer,6,112852, 11.10 evince xps-file,3/14/2012
23015,How can I change the percent of screen brightness that changes every time I press the shortcut?,2000.0,3,6,48972, shortcut-keys brightness,6/16/2011
23016,Ubuntu won't save my settings for thinkpad trackpoint,5000.0,1answer,6,137528, 12.04 thinkpad udev trackpoint,5/15/2012
23017,Setting up wireless (WPA2) on ubuntu server 14.04,33000.0,2,6,521188, 14.04 wireless server wpa2,9/7/2014
23018,How to map Ctrl/Shift to thumb buttons of Mouse?,4000.0,5,6,6134, hardware mouse,10/11/2010
23019,Errors from nouveau when installing or booting from live usb,8000.0,1answer,5,947830, boot system-installation live-usb,8/19/2017
23021,How to execute a Bash script from Github?,3000.0,1answer,5,992448, command-line bash scripts downloads git,1/5/2018
23023,No sound on TV with HDMI Ubuntu 13.04,27000.0,3,5,296445, sound 13.04 hdmi,5/16/2013
23024,windows 7-like snap window maximize and vertical feature [duplicate],5000.0,2,5,8701, gnome compiz metacity,10/21/2010
23025,Connecting to Windows7 share gives mount error,17000.0,2,5,70736, 11.10 networking windows-7 samba share,10/22/2011
23027,Syslog flooded with systemd-resolved messages Using degraded feature set,7000.0,2,5,932486, 17.04 syslog systemd-resolved,7/6/2017
23028,Abnormally High Fan Speed on Cool Laptop Dell Inspiron 15R 5520 Ubuntu 14.04,10000.0,1answer,5,506440, 14.04 dell laptop fan,8/3/2014
23029,Shutdown / restart does not complete [closed],2000.0,3,5,22675, shutdown restart,1/21/2011
23031,How do I change passwords that have been saved in the keyring?,3000.0,1answer,5,27636, password gnome-keyring,2/22/2011
23032,How do I set a global SOCKS proxy in Xubuntu?,4000.0,2,5,77509, configuration xubuntu proxy xfce,11/9/2011
23033,Is it possible to add a notification message when a VPN gets connected?,1000.0,2,5,24604, 10.04 vpn notification,2/3/2011
23034,How to save the current Xorg configuration to Xorg.conf?,15000.0,1answer,5,106933, nvidia xorg resolution monitor,2/23/2012
23035,reach lxd container from local network,6000.0,2,5,749063, networking lxd,3/22/2016
23036,How to deal with configuration style warnings occuring from TexLive 2012 installation?,3000.0,1answer,5,229454, configuration ppa fonts latex backport,12/15/2012
